title,url,category,text,cluster
CNBC's Official Global Soccer Team Valuations 2025: Here's how the world's top 25 clubs stack up,https://www.cnbc.com/2025/05/05/cnbcs-official-global-soccer-team-valuations-2025.html,sport,CNBC's Official Global Soccer Team Valuations 2025: Here's how the world's top 25 clubs stack up,3
How CNBC calculated its Official Global Soccer Team Valuations 2025,https://www.cnbc.com/2025/05/05/how-cnbc-calculated-its-official-global-soccer-team-valuations-2025.html,sport,How CNBC calculated its Official Global Soccer Team Valuations 2025,3
MLS sponsorships spike as U.S. soccer gains popularity,https://www.cnbc.com/2025/05/05/mls-sponsorships-spike-as-us-soccer-gains-popularity.html,sport,MLS sponsorships spike as U.S. soccer gains popularity,3
MLS signs a deal with EA to stream four soccer matches on mobile gaming platform,https://www.cnbc.com/2025/05/05/mls-ea-sports-fc-mobile-streaming-matches.html,sport,MLS signs a deal with EA to stream four soccer matches on mobile gaming platform,3
'The rain doesn't matter at all': Fans (and horses) are ready for the Kentucky Derby,https://www.cnbc.com/2025/05/03/the-rain-doesnt-matter-at-all-fans-and-horses-are-ready-for-the-kentucky-derby.html,sport,'The rain doesn't matter at all': Fans (and horses) are ready for the Kentucky Derby,3
Churchill Downs CEO: Interest in Kentucky Derby is strong despite uncertainty,https://www.cnbc.com/2025/05/02/kentucky-derby-churchill-downs-ceo-strong-demand-uncertainty.html,sport,Churchill Downs CEO: Interest in Kentucky Derby is strong despite uncertainty,3
Kentucky Derby: How horse owners invest and potentially earn millions,https://www.cnbc.com/2025/05/01/kentucky-derby-horse-owners.html,sport,Kentucky Derby: How horse owners invest and potentially earn millions,3
