title,url,category
This video has been removed for rights reasons,https://www.bbc.com/news/videos/cp8ydeglqveo,Arts/Culture/Celebrities
Watch: Stars celebrate at glitzy Oscars after party,https://www.bbc.com/news/videos/c0mwrjegvk0o,Arts/Culture/Celebrities
From wedding videos to four Oscars: Anora director speaks to the BBC,https://www.bbc.com/news/videos/cg4kvg02w7ko,Arts/Culture/Celebrities
Baftas 2025: Watch the big moments in 100 seconds,https://www.bbc.com/news/videos/crr0r5lqgr2o,Arts/Culture/Celebrities
'I didn't believe it': Warwick Davis on receiving Bafta fellowship,https://www.bbc.com/news/videos/cd9q98d95w3o,Arts/Culture/Celebrities
Nepo babies or superstars in waiting?,https://www.bbc.com/news/articles/c05nrdz2vqeo,Arts/Culture/Celebrities
David Bowie to Doctor Who: Famous faces come to life in art show,https://www.bbc.com/news/articles/cdxg094zk58o,Arts/Culture/Celebrities
Four ways the film Conclave sheds light on the secretive way popes are chosen,https://www.bbc.com/news/articles/cgkg403x1gxo,Arts/Culture/Celebrities
Lorde: 'Working with Charli XCX kicked me into opening up',https://www.bbc.com/news/articles/c0l05xx6ekdo,Arts/Culture/Celebrities
"Kneecap: Rap group are no strangers to controversy, but is this time different?",https://www.bbc.com/news/articles/cly5r4gg7l6o,Arts/Culture/Celebrities
Lewis Hamilton to co-host Met Gala with spotlight on menswear and black style,https://www.bbc.com/news/articles/c3r807j7xrwo,Arts/Culture/Celebrities
"Molly-Mae is back, and I Kissed a Boy returns: What's coming up this week",https://www.bbc.com/news/articles/clyqxzlzw9jo,Arts/Culture/Celebrities
Marvel's Thunderbolts* proves a hit at box office,https://www.bbc.com/news/articles/cz79x7exn3wo,Arts/Culture/Celebrities
'Little Monsters' enjoy free Lady Gaga concert in Brazil,https://www.bbc.com/news/videos/c1me42j0xn3o,Arts/Culture/Celebrities
"Jewels linked to Buddha remains go to auction, sparking ethical debate",https://www.bbc.com/news/articles/ckg2elg3zxyo,Arts/Culture/Celebrities
Lorraine Kelly reassures fans ahead of surgery,https://www.bbc.com/news/articles/cr5dy8depj5o,Arts/Culture/Celebrities
Ncuti Gatwa's joy at learning sign language for Doctor Who,https://www.bbc.com/news/videos/c4g7j2w430po,Arts/Culture/Celebrities
