title,url,category
Sovereignty wins the 151st Kentucky Derby,https://edition.cnn.com/2025/05/03/sport/sovereignty-wins-151st-kentucky-derby,Sports
"Oscar Piastri dominates Miami Grand Prix to claim third-straight win, as Hamilton addresses ‘frustrating’ Ferrari team orders",https://edition.cnn.com/2025/05/05/sport/oscar-piastri-lewis-hamilton-miami-grand-prix-f1-spt-intl,Sports
Aryna Sabalenka defeats Coco Gauff to win record-equaling Madrid Open title,https://edition.cnn.com/2025/05/04/sport/aryna-sabalenka-madrid-open-spt-intl,Sports
"Nikola Jokić admits ‘energy’ has changed since Michael Malone firing, as Denver Nuggets advance in playoffs",https://edition.cnn.com/2025/05/04/sport/nikola-jokic-energy-changed-since-michael-malone-spt-intl,Sports
Red Sox great Roger Clemens watches son Kody hit Fenway Park home run – for the Minnesota Twins,https://edition.cnn.com/2025/05/04/sport/kody-clemens-home-run-roger-clemens-spt-intl,Sports
People close to the fan who fell onto field at PNC Park share positive update,https://edition.cnn.com/2025/05/03/sport/pnc-park-fan-fall-update-spt,Sports
Gregg Popovich steps down as San Antonio Spurs head coach and is moving to team’s front office as president,https://edition.cnn.com/2025/05/02/sport/gregg-popovich-san-antonio-spurs-spt,Sports
The larger-than-life Bob Baffert is returning to the Kentucky Derby. The identity crisis he represents in racing never left.,https://edition.cnn.com/2025/05/02/sport/bob-baffert-kentucky-derby-spt,Sports
Teenage prodigy Andrea Kimi Antonelli becomes youngest ever driver to claim an F1 pole,https://edition.cnn.com/2025/05/03/sport/andrea-kimi-antonelli-youngest-ever-drive-f1-pole-spt-intl,Sports
Rafael Nadal tells CNN exclusively that he ‘100%’ believes Jannik Sinner is innocent amid return from doping suspension,https://edition.cnn.com/2025/04/29/sport/rafael-nadal-jannik-sinner-innocent-spt-intl,Sports
"Breaking records, Olympic gold and a music debut: Mondo Duplantis talks exclusively with CNN about ‘life-changing’ year",https://edition.cnn.com/2025/05/02/sport/mondo-duplantis-pole-vault-records-olympics-spt-intl,Sports
‘I will die in there before anything happens’: Why this region of Russia produces so many MMA champions,https://edition.cnn.com/2025/04/17/sport/dagestan-mma-fighters-russia-ufc-spt-intl,Sports
American teenager Maya Merhige withstood thousands of jellyfish stings during a 14-hour swim across the Cook Strait,https://edition.cnn.com/2025/04/30/sport/maya-merhige-cook-strait-swim-spt-intl,Sports
Why soccer might be Sweden’s way out of a gang crime crisis,https://edition.cnn.com/2025/04/15/sport/sweden-gang-crime-crisis-soccer-spt-intl,Sports
Why more people than ever before are running marathons,https://edition.cnn.com/2025/04/26/sport/london-marathon-running-spt-intl,Sports
"European fairytale continues for Bodø/Glimt, the soccer team from inside the Arctic Circle",https://edition.cnn.com/2025/05/02/sport/bodo-glimt-tottenham-europa-league-spt-intl,Sports
"He was the first player ever to be drafted in the NFL, but he never played a professional game",https://edition.cnn.com/2025/04/23/sport/jay-berwanger-nfl-draft-spt,Sports
"Liverpool has won the Premier League again. This time, fans can finally celebrate properly",https://edition.cnn.com/2025/04/28/sport/liverpool-fans-premier-league-celebration-spt-intl,Sports
"This man salvages 70,000 golf balls from an infamous golf water hazard to earn a lucrative living",https://edition.cnn.com/2025/03/10/sport/jim-best-scuba-diver-players-championship-spt,Sports
"Maryland Gov. Wes Moore, a rising Democratic star, leans into a sense of national pride as the party searches for new vision",https://edition.cnn.com/2025/05/05/politics/wes-moore-democrats-trump,Politics
,https://edition.cnn.com/2025/04/24/sport/video/soccer-sweden-gang-crisis-sirius-spt-intl,Sports
Video,https://edition.cnn.com/2025/04/24/sport/video/soccer-sweden-gang-crisis-sirius-spt-intl,Sports
,https://edition.cnn.com/2025/05/02/sport/video/mondo-duplantis-pole-vault-olympics-cnni-sports-fast,Sports
Video,https://edition.cnn.com/2025/05/02/sport/video/mondo-duplantis-pole-vault-olympics-cnni-sports-fast,Sports
,https://edition.cnn.com/2025/04/30/sport/video/nfl-star-saquon-barkley-gets-backlash-for-golfing-with-trump,Sports
Video,https://edition.cnn.com/2025/04/30/sport/video/nfl-star-saquon-barkley-gets-backlash-for-golfing-with-trump,Sports
,https://edition.cnn.com/2025/04/27/sport/video/shedeur-sanders-nfl-draft-prank-call-coy-wire-digvid,Sports
Video,https://edition.cnn.com/2025/04/27/sport/video/shedeur-sanders-nfl-draft-prank-call-coy-wire-digvid,Sports
,https://edition.cnn.com/2025/04/25/sport/video/kelly-slater-surfing-laureus-lifetime-achievement-cnni-sports-fast,Sports
Video,https://edition.cnn.com/2025/04/25/sport/video/kelly-slater-surfing-laureus-lifetime-achievement-cnni-sports-fast,Sports
,https://edition.cnn.com/2025/04/24/sport/video/rebeca-andrade-brazil-laureus-olympics,Sports
Pence says January 6 attack’s failure ‘became a triumph of freedom’ as he receives JFK Profile in Courage Award,https://edition.cnn.com/2025/05/04/politics/mike-pence-jfk-award-january-6,Politics
Trump says he is directing Bureau of Prisons to reopen Alcatraz to house ‘ruthless and violent offenders’,https://edition.cnn.com/2025/05/04/politics/trump-alcatraz-prisons-reopen,Politics
What the restart of defaulted student loan collection means for borrowers,https://edition.cnn.com/2025/05/04/politics/student-loan-collection-restart-what-to-know,Politics
Families of detained Americans plead that they are not forgotten,https://edition.cnn.com/2025/05/04/politics/families-detained-americans-plead,Politics
GOP amps up Trump impeachment talk in midterm battle as party leaders woo Kemp for Senate,https://edition.cnn.com/2025/05/04/politics/trump-republicans-midterms-kemp-senate,Politics
Trump’s IRS nominee awaits confirmation as agency churns through 4 acting leaders this year,https://edition.cnn.com/2025/05/04/politics/trumps-irs-nominee-awaits-confirmation,Politics
"Anxiety, fear set in for student loan borrowers in default",https://edition.cnn.com/2025/05/04/politics/student-loan-borrowers-default-anxiety,Politics
Trump is acting like it’s his choice whether he obeys the Constitution,https://edition.cnn.com/2025/05/05/politics/constitution-trump-nbc-interview-tariffs-canada,Politics
"Elon Musk’s ethical minefield, mapped",https://edition.cnn.com/2025/05/03/politics/federal-government-musk-ethical-minefield-dg,Politics
Can Trump revoke Harvard’s tax-exempt status?,https://edition.cnn.com/2025/04/16/politics/universities-tax-exemption-trump-harvard-irs-what-matters,Politics
Trump turns civil rights upside down in ‘biggest rollback’ since Reconstruction,https://edition.cnn.com/2025/05/02/politics/trump-civil-rights-rollback-what-matters,Politics
Rubio’s hardest task in his tough new role may be keeping his job,https://edition.cnn.com/2025/05/02/politics/rubio-waltz-trump-national-security-team,Politics
Brazil’s Rebeca Andrade reflects on ‘goosebumps’ moment at Paris Games,https://edition.cnn.com/2025/04/24/sport/video/rebeca-andrade-brazil-laureus-olympics,Sports
,https://edition.cnn.com/2025/04/26/sport/video/katherine-legge-nascar-cnni-sports-fast,Sports
NASCAR’s Katherine Legge addresses ‘disturbing’ online abuse,https://edition.cnn.com/2025/04/26/sport/video/katherine-legge-nascar-cnni-sports-fast,Sports
,https://edition.cnn.com/2025/03/30/sport/video/riddell-adolescence-intv-fst-033012pseg1-cnni-sports-fast,Sports
Psychologist on how sports can target toxic ‘manosphere’,https://edition.cnn.com/2025/03/30/sport/video/riddell-adolescence-intv-fst-033012pseg1-cnni-sports-fast,Sports
,https://edition.cnn.com/2025/04/06/sport/video/alysa-liu-figure-skating-cnni-sports-fast,Sports
Figure Skater Alysa Liu reflects on winning world title and return to the sport,https://edition.cnn.com/2025/04/06/sport/video/alysa-liu-figure-skating-cnni-sports-fast,Sports
How the economy may frustrate Trump’s drive to expand presidential power,https://edition.cnn.com/2025/05/01/politics/second-presidency-trump-100-days,Politics
Trump’s bubble of economic unreality is coming close to bursting,https://edition.cnn.com/2025/05/01/politics/trump-gdp-economy-golden-age-recession-perception,Politics
Global populists once emulated Trump. Now they’re running from him,https://edition.cnn.com/2025/04/30/politics/carney-trump-starmer-macron-world-leaders-change-elections,Politics
"Lawsuits, executive actions, confirmations and golf trips: Key moments in Trump’s first 100 days",https://edition.cnn.com/2025/04/29/politics/donald-trump-actions-100-days-dg,Politics
,https://edition.cnn.com/2025/05/04/politics/video/trump-post-100-percent-tariff-films-produced-outside-united-states-imported-brian-stelter-nr-digvid,Politics
Stelter: Trump ‘trying to punish’ filmmakers making films outside US,https://edition.cnn.com/2025/05/04/politics/video/trump-post-100-percent-tariff-films-produced-outside-united-states-imported-brian-stelter-nr-digvid,Politics
,https://edition.cnn.com/2025/05/04/politics/video/stephen-a-smith-responds-donald-trump-presidential-run-digvid,Politics
,https://edition.cnn.com/2025/01/29/sport/video/champions-league-12905pseg1-cnni-sports-fast,Sports
The remarkable rise of Bodø/Glimt,https://edition.cnn.com/2025/01/29/sport/video/champions-league-12905pseg1-cnni-sports-fast,Sports
,https://edition.cnn.com/2025/03/11/sport/video/jim-best-golf-scuba-diving-spt-intl,Sports
The most unusual job in sports? This scuba diver turns lost golf balls into lucrative business,https://edition.cnn.com/2025/03/11/sport/video/jim-best-golf-scuba-diving-spt-intl,Sports
"NFL fines the Falcons $250,000 and Jeff Ulbrich $100,000 over Shedeur Sanders’ phone number leak",https://edition.cnn.com/2025/04/30/sport/nfl-fines-falcons-jeff-ulbrich-shedeur-sanders-spt,Sports
Jalen Hurts misses Eagles’ White House celebrations while Trump backs the ‘tush push’,https://edition.cnn.com/2025/04/29/sport/eagles-white-house-donald-trump-hurts-swift-spt-intl,Sports
The Shedeur Sanders slide and who were the winners: what we learned from the 2025 NFL draft,https://edition.cnn.com/2025/04/28/sport/2025-nfl-draft-takeaways-spt-intl,Sports
Eagles star Saquon Barkley hangs out with Trump after Jalen Hurts dodges question on White House visit,https://edition.cnn.com/2025/04/28/sport/saquon-barkley-donald-trump-eagles-white-house-spt-intl,Sports
Stephen A. Smith responds to Trump endorsing a possible presidential run,https://edition.cnn.com/2025/05/04/politics/video/stephen-a-smith-responds-donald-trump-presidential-run-digvid,Politics
‘Things better change’: Arizona voters express reservations about Trump’s first 100 days,https://edition.cnn.com/2025/04/28/politics/arizona-voters-trump-presidency,Politics
"‘No friend anymore’: Days from a national election, Canadian voters focus on the US relationship",https://edition.cnn.com/2025/04/24/politics/canada-trump-election-prime-minister-tariffs,Politics
Fact check: Trump falsely claims he warned Americans during his campaign of a tariff ‘transition period’,https://edition.cnn.com/2025/05/01/politics/fact-check-trump-tariff-warning,Politics
Fact check: Trump lies that he’s ‘already served three’ terms as president,https://edition.cnn.com/2025/04/29/politics/president-terms-years-trump-election,Politics
